id,eur
28e21c8c-5ad1-4830-8621-f0fd6500ca79,39.66
290f395d-0827-4f62-b117-4766d4ab5dca,38.80
291af6dc-9f71-4e8e-9ecc-24fa90aacb23,20.13
2926777a-4f6e-4965-ba83-22cf7df02602,1582.86
2973e855-fe93-41a1-a62e-4699ef2c3d1d,40.51
29ba5a2d-d787-4214-8cd7-7f2bcea938f8,23.45
29dc1596-a2e7-4d60-9f99-89babaef8a06,860.20
2a25a785-ddd8-45e8-b10f-32d39f867ca7,270.00
2a58ec38-f1dc-4c69-9d26-a4599bce586a,59.64
2a717b98-cdac-416d-bf6c-f6b6638e65d1,20.44
2a7cf252-1af0-4b03-89bc-8287b4052a23,76.43
2a87b26e-0431-42e9-b44f-94ba8546111a,40.85
2a9229b8-088e-4c8d-953a-9d8143a0200d,29.47
2ab9c69f-cb12-4095-af83-89319f00a3fa,26.29
2ac29c5c-3c55-4778-9bcd-642d38a0d3f9,24.94
2ac9fdee-ad50-486a-9fde-4aba6848a6c6,28.38
2ae1bb79-a931-4d2e-9cc9-a06862dc5cde,43.02
2b0e16d5-a3e5-4e58-9f97-3d967618f015,51.55
2b20d3e1-62ef-44db-8109-a33d4fa3e7f1,25.56
2b234903-d7bf-4136-891a-0d66f49c2477,815.45
2b347ecf-d032-4d6c-9b4b-6e33c08a0722,32.64
2b42c421-da39-41e1-af2e-005aebb3a7c7,54.12
2b7002f2-6846-4a53-921e-663ca5f99363,20.03
2b827094-fb2c-46db-b898-02e0c308601f,32.19
2b871039-6a66-4ac3-95e7-24759c1f2f92,21.50
2b9d2a9b-daf2-4ebe-bb8c-0b1d4dfa9e35,27.34
2bb0e884-5bb4-41f3-b04b-6f638357c166,975.66
2bb8c103-37c3-4c5f-9b3f-48d8b2292783,39.54
2bca2cd2-4d4a-44e4-87c3-732692b77921,28.42
2bd4202c-0477-45aa-82fd-83c85d6d4bef,312.73
2bd93079-b10e-4be3-9545-17fa3bc3bfd2,43.34
2be38927-637b-4dce-b228-83ce4f50c4a4,30.79
2be8d24e-1370-4e85-90f2-66b6d6e9c4a4,25.21
2c1dbc62-ceb5-4540-ae38-901e5deafc75,35.18
2c23b39b-a4d6-4f10-8ced-fa4b1ed2cf74,67.53
2c7ea1c6-30b2-4612-8911-03fde5ecbb2a,29.26
2c872b04-e80d-4c02-ac26-8f5cbb82e99f,36.04
2c89261c-fff8-4145-9448-247a1f924409,22.89
2c8b3180-6e29-484a-95f1-3e75af2766d3,116.60
2ca5c829-0a07-4062-8550-c5dd443103a6,23.96
2cae1d08-5bda-4eeb-8134-bdb62ad6f44e,42.88
2cba9d69-0a54-4a58-8d1a-25cca4f452a2,39.54
2cc0a11c-99f0-439d-a372-4fd77e007df4,28.89
2ce2d73f-3f64-44db-a2bc-a8f4a37dc487,35.89
2cf6a3a3-4a06-4eb7-981a-b70cf05b2473,28.88
2cf7e8a3-fad7-413d-b17c-7519a9cf5fb5,21.04
2cf97898-1e05-4c0e-896f-ba6713bf6a7b,44.59
2d16cf1d-a7c3-4038-a648-299c1bedae99,21.38
2d1c66a7-a39e-4869-80c7-1cec89777e0d,23.74
